group_name	cluster_id	seed_short_label	n_members	n_matched_fastas	n_missing	combined_fasta
SMF_RC2	25	domain_RC2	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RC2/SMF_RC2.fasta
SMF_RC3	26	domain_RC3	4	4	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RC3/SMF_RC3.fasta
SMF_RN23	27	domain_RN23	3	3	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RN23/SMF_RN23.fasta
SMF_RC35	28	domain_RC35	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RC35/SMF_RC35.fasta
SMF_RN17	29	domain_RN17	2	2	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RN17/SMF_RN17.fasta
SMF_RN24	30	domain_RN24	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RN24/SMF_RN24.fasta
SMF_RN3	31	domain_RN3	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RN3/SMF_RN3.fasta
SMF_RN19	32	domain_RN19	3	3	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RN19/SMF_RN19.fasta
SMF_RC33	33	domain_RC33	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RC33/SMF_RC33.fasta
SMF_RC30	34	domain_RC30	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RC30/SMF_RC30.fasta
SMF_RC37	35	domain_RC37	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RC37/SMF_RC37.fasta
SMF_RC6	36	domain_RC6	3	3	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RC6/SMF_RC6.fasta
SMF_RN22	37	domain_RN22	3	3	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RN22/SMF_RN22.fasta
SMF_RN18	38	domain_RN18	3	3	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RN18/SMF_RN18.fasta
SMF_RN25	39	domain_RN25	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RN25/SMF_RN25.fasta
SMF_RC34	40	domain_RC34	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RC34/SMF_RC34.fasta
SMF_RN30	41	domain_RN30	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RN30/SMF_RN30.fasta
SMF_RC32	42	domain_RC32	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RC32/SMF_RC32.fasta
SMF_RC27	43	domain_RC27	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RC27/SMF_RC27.fasta
SMF_RC29	44	domain_RC29	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RC29/SMF_RC29.fasta
SMF_RN35	45	domain_RN35	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RN35/SMF_RN35.fasta
SMF_RC38	46	domain_RC38	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RC38/SMF_RC38.fasta
